Counter Locations,Latitude,Longitude,Latitude2,Longitude2,
O'Connell St Outside Clerys,53.35248089,-6.261348686,53.34765126,-6.259137244,
O'Connell St Outside Pennys,53.3524505,-6.261549142,53.34756604,-6.259454892,
Grafton Street,53.34323101,-6.259346829,53.34073507,-6.260717602,
Henry Street,53.3497581,-6.260422913,53.34914167,-6.264390987,
Mary Street,53.34913467,-6.264409943,53.34847721,-6.268689379,
Capel Street,53.34649179,-6.268017451,53.35021778,-6.269429402,
Aston Quay,53.34614962,-6.262537569,53.34694018,-6.259142013,
Grafton Street @ CompuB,53.34336369,-6.259431928,53.3440329,-6.259292336,
Talbot Street North,53.35075388,-6.254349003,53.35136292,-6.250646813,
"Doilier Street, Burgh Quay",53.34689401,-6.258777655,53.34594497,-6.257361971,
Dawson Street Replacement,53.34283601,-6.257773521,53.33952773,-6.258774977,
Dame Street,53.34416713,-6.266804149,53.3442324,-6.262556949,
Talbot Street South,53.35014753,-6.258151104,53.35074224,-6.254476673,
"O'Connell St, Parnell St @ AIB",53.35188839,-6.262900933,53.3532263,-6.259959609,
Grafton Street / Nassau Street / Suffolk Street,53.34256194,-6.256317522,53.34343672,-6.260001903,
"College Green, Bank Of Ireland",53.34433221,-6.261774887,53.34459717,-6.259669652,
Westmoreland Street East,53.34687775,-6.258990493,53.34536872,-6.25900401,
Liffey Street,53.3466867,-6.263128993,53.34910696,-6.264339141,
Westmoreland Street West,53.34680512,-6.259267601,53.34532504,-6.259323804,
Bachelors Walk,53.34662665,-6.263148144,53.3475225,-6.259449109,
College Green @ Church Lane,53.34427227,-6.260856803,53.34386104,-6.260869389,
College Green - Dame St Side,53.34575717,-6.257381017,53.34491374,-6.259171684,
